epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0027,2.95642,3.70307,4.25666,0.00307,0.92,0.01045,0.00336,2.59509,3.73424,4.15973,0.00024,0.00024,0.00024
2,44.3778,2.94469,3.6486,4.21224,0.00307,0.92,0.0091,0.00405,2.57877,3.72755,4.14711,0.00049505,0.00049505,0.00049505
3,58.7335,2.8663,3.49183,4.08119,0.00307,0.92,0.04819,0.00993,2.54398,3.72334,4.11864,0.000744952,0.000744952,0.000744952
4,74.2719,2.78827,3.33709,3.85979,0.00307,0.92,0.00898,0.00326,2.68285,3.7926,4.26075,0.000989706,0.000989706,0.000989706
5,89.8835,2.69375,3.19357,3.71213,0.00307,0.92,0.02019,0.00697,2.86235,3.71076,4.48993,0.00122931,0.00122931,0.00122931
6,102.221,2.72947,3.08353,3.54463,0.00293,0.88,0.03526,0.00964,2.05957,3.70928,3.21313,0.00146377,0.00146377,0.00146377
7,115.287,2.67343,2.92144,3.42571,0.00293,0.88,0.03808,0.01338,2.07982,3.74469,3.98136,0.00169308,0.00169308,0.00169308
8,128.439,2.50665,2.78639,3.28777,0.00333,1,0.02711,0.01022,2.3426,3.72496,3.88359,0.0018614,0.0018614,0.0018614
9,142.397,2.44328,2.66186,3.19653,0.05827,0.2,0.06078,0.01972,2.42944,3.52128,3.76139,0.0018416,0.0018416,0.0018416
10,156.442,2.46872,2.53873,3.12772,0.38436,0.30019,0.28351,0.14305,2.29626,3.13567,3.87961,0.0018218,0.0018218,0.0018218
11,169.293,2.36002,2.47629,3.01705,0.5744,0.36,0.38541,0.10915,2.05236,3.63049,3.10143,0.001802,0.001802,0.001802
12,183.849,2.34466,2.31857,2.94892,0.45259,0.56,0.38617,0.19257,1.93892,3.48419,3.48219,0.0017822,0.0017822,0.0017822
13,197.928,2.29138,2.1994,2.85476,0.65252,0.72,0.65768,0.35366,1.97465,2.07332,2.87771,0.0017624,0.0017624,0.0017624
14,211.31,2.32386,2.10974,2.86615,0.54528,0.44,0.45031,0.21755,2.22759,3.13247,3.42409,0.0017426,0.0017426,0.0017426
15,225.279,2.13315,1.9626,2.7266,0.73446,0.8,0.81669,0.55523,1.63671,2.67361,2.55232,0.0017228,0.0017228,0.0017228
16,238.427,2.04159,1.87422,2.60223,0.50942,0.76,0.65071,0.34455,1.75332,2.12878,2.5384,0.001703,0.001703,0.001703
17,252.465,2.01424,1.73836,2.52451,0.76477,0.84,0.85815,0.55774,1.40277,2.31133,2.13281,0.0016832,0.0016832,0.0016832
18,265.793,1.8932,1.66792,2.42218,0.70164,0.94098,0.8152,0.46911,1.75104,2.51804,2.84951,0.0016634,0.0016634,0.0016634
19,279.118,1.88918,1.57614,2.36809,0.96123,0.8,0.92513,0.61701,1.46732,1.40135,2.19793,0.0016436,0.0016436,0.0016436
